id	name	xqid	latitude	longitude	country_id
1	Andorra la Vella	ALV	42.506317	1.521835	1
2	Abu Dhabi	AUH	24.43300056	54.65110016	2
3	Ajman	QAJ	25.405217	55.513643	2
4	Al Ain	AAN	24.26169968	55.60919952	2
5	Al Dhafra	DHF	24.24819946	54.54769897	2
6	Dubai	DXB	25.25279999	55.36439896	2
7	Fujairah	FJR	25.11219978	56.32400131	2
8	Ras Al Khaimah	RKT	25.6135006	55.93880081	2
9	Sharjah	SHJ	25.32859993	55.51720047	2
10	Bamyan	BIN	34.81700134	67.81700134	3
11	Bost	BST	31.55970001	64.36499786	3
12	Chaghcharan	CCN	34.53300095	65.26699829	3
13	Darwaz	DAZ	38.46110153	70.88249969	3
14	Farah	FAH	32.36700058	62.18299866	3
15	Fayzabad	FBD	37.12110138	70.51809692	3
16	Herat	HEA	34.20999908	62.22829819	3
17	Jalalabad	JAA	34.39979935	70.49859619	3
18	Kabul	KBL	34.5658989	69.21230316	3
19	Kandahar	KDH	31.50580025	65.84780121	3
20	Khost	KHT	33.33340073	69.95200348	3
21	Khwahan	KWH	37.88299942	70.21700287	3
22	Kunduz	UND	36.6651001	68.91079712	3
23	Maymana	MMZ	35.93080139	64.7609024	3
24	Mazari Sharif	MZR	36.70690155	67.20970154	3
25	Qala i Naw	LQN	34.98500061	63.11780167	3
26	Sheghnan	SGA	37.56700134	71.5	3
27	Tarin Kowt	TII	32.60419846	65.86579895	3
28	Zaranj	ZAJ	30.972222	61.865833	3
29	Codrington	BBQ	17.635799	-61.828602	4
30	St. John's	ANU	17.1367	-61.792702	4
31	The Valley	AXA	18.20479965	-63.05509949	5
32	Tirana	TIA	41.41469955	19.72060013	6
33	Gyumri	LWN	40.75040054	43.85929871	7
34	Yerevan	EVN	40.14730072	44.39590073	7
35	Ambriz	AZZ	-7.862219811	13.11610031	8
36	Andulo	ANL	-11.471389	16.710833	8
37	Benguela	BUG	-12.60900021	13.40369987	8
38	Cabinda	CAB	-5.596990109	12.18840027	8
39	Cafunfo	CFF	-8.783610344	17.98970032	8
40	Camaxilo	CXM	-8.373609543	18.92359924	8
41	Catumbela	CBT	-12.47920036	13.48690033	8
42	Cazombo	CAV	-11.89309978	22.91640091	8
43	Cuito Cuanavale	CTI	-15.16030025	19.15609932	8
44	Dundo	DUE	-7.400889874	20.81850052	8
45	Luanda	LAD	-8.858369827	13.23120022	8
46	Luau	UAL	-10.71580029	22.23110008	8
47	Lubango	SDD	-14.92469978	13.57499981	8
48	Luena	LUO	-11.76809978	19.89769936	8
49	Negage	GXG	-7.754509926	15.2876997	8
50	N'zeto	ARZ	-7.259439945	12.86310005	8
51	Waco Kungo	CEO	-11.42640018	15.10140038	8
52	Xangongo	XGN	-16.7553997	14.96529961	8
53	Antarctica	TNM	-62.19079971	-58.98669815	9
54	Alto Río Senguer	ARR	-45.0135994	-70.81220245	10
55	Bahia Blanca	BHI	-38.725	-62.1693	10
56	Base Marambio	MRO	-40.97330093	175.6340027	10
57	Buenos Aires	BUE	-34.5592	-58.4156	10
58	Buenos Aires Province	MGI	-37.201728	-59.84107	10
59	Caleta Olivia	CVI	-46.442565	-67.517153	10
60	Carmen de Patagones	CPG	-40.798639	-62.980361	10
61	Catamarca	CTC	-28.59560013	-65.75170136	10
62	Caviahue	CVH	-37.85139847	-71.00920105	10
63	Ceres	CRR	-29.8631	-61.8728	10
64	Charata	CNT	-27.21799	-61.187362	10
65	Chos Malal	HOS	-37.44469833	-70.22250366	10
